cx_q2,Question Placement,Web,Dealership
"Everything was pleasant about the communication, and everyone was professional and friendly",End of Survey,FALSE,TRUE
Have not been contacted yet,End of Survey,FALSE,TRUE
purchased a new truck from them.....,Begin of Survey,FALSE,FALSE
Did what they said,Begin of Survey,FALSE,FALSE
I submitted my request in the pre-dawn hours of a weekend day. I certainly didn't expect a reply at that hour. Joe Bianco did reply as soon as the business hours were open and followed that up with a recommendation to talk with Karl on Monday - exactly what we did. It's been great service.,End of Survey,TRUE,TRUE
"Responsiveness, phone manners, good support.",End of Survey,FALSE,TRUE
got most of the info I was looking for,End of Survey,FALSE,FALSE
Have always bought from this place and they understand us.,Begin of Survey,FALSE,FALSE
Good product,Begin of Survey,FALSE,FALSE
Because it was quick,Begin of Survey,FALSE,FALSE
did not wast my time.,End of Survey,FALSE,FALSE
Quick response,End of Survey,FALSE,TRUE
Responded fairly quick,End of Survey,FALSE,TRUE
"I after contact i both called and texted dealer representatives, told them I did not have much time before work but would like to see the truck, The representative said he would let the sales manger know and it would be ready when i got there in 30 min . I arrived at the the dealer spoke to a third person different frown i had texted with . he said no body told them I was coming.   I said Want to see this truck had it saved to my phone,  I had called to confirm it availability. He  went to find the keys after about 15 to 20 minutes of waiting  they said they could not find the keys or the truck.  I had to leave  they called later that day and said they had still not found it but found one a lighter blue.",Begin of Survey,FALSE,TRUE
Brandon Grimm has been awesome!,Begin of Survey,FALSE,FALSE
quick,Begin of Survey,FALSE,FALSE
Ford has a positive image in my mind and the rep from the Deal Called me and was very polite with no pressure.,Begin of Survey,FALSE,TRUE
Quick response by Scott and a simple buying expirience.,Begin of Survey,FALSE,TRUE
easy to use,Begin of Survey,FALSE,FALSE
Did not get all my answers correctly An should like price on newer vehicles that I sent the specs on a truck.,Begin of Survey,FALSE,FALSE
"The representative was helpful, informative and not pushy.",End of Survey,FALSE,TRUE
It was good.  Not exceptional but certainly not bad,Begin of Survey,FALSE,FALSE
Friendly Professional  no pressure people,Begin of Survey,FALSE,TRUE
Quick response and got the information and appointment I needed. Great people.,Begin of Survey,FALSE,TRUE
Communication and Value for trade-in,End of Survey,FALSE,FALSE
I offered a price they said thats not happening an yesterday the price was lower than I offeredthis I don't understand (can you?).,Begin of Survey,FALSE,FALSE
Prompt and not overbearing,Begin of Survey,FALSE,TRUE
"It was very prompt. We're not interested in buying a brand new car right now per se, but the representative was so prompt, it was nice. She understood what we wanted so well that we were already out the door to see a car we'd found on our own before she could make the appointment.",End of Survey,FALSE,TRUE
I received a quick response.,Begin of Survey,FALSE,TRUE
We were treated fairly and drove away in a new Escape,Begin of Survey,FALSE,FALSE
Seemed like spam and wasn?t the actual info I wanted.,End of Survey,FALSE,FALSE
They contacted me right away the only issue i have is they are trying to put me in a 2018 and i did not request that.,Begin of Survey,FALSE,TRUE
"Everyone at the dealership has been great, from the salespeople to finance to service after the sale.",Begin of Survey,FALSE,TRUE
"QUICK RESPONSE.  VERY FRIENDLY SALESMAN ""KAPPY""",Begin of Survey,FALSE,TRUE
Poor service.,End of Survey,FALSE,FALSE
El servicio fue rapido y garantizado,Begin of Survey,FALSE,FALSE
Paul contacted me right away.,Begin of Survey,FALSE,TRUE
A great dealership and personnel,End of Survey,FALSE,TRUE
Spradley Barr Motors in Cheyenne has great employees and they treat customers with respect.,End of Survey,FALSE,FALSE
Don't want to be contacted just want to look at cars,End of Survey,FALSE,TRUE
let me know what I asked about,End of Survey,FALSE,FALSE
quick and fair,Begin of Survey,FALSE,FALSE
Dealt with sales rep before.,End of Survey,FALSE,TRUE
I havent been contacted,End of Survey,FALSE,TRUE
good people to talk to,Begin of Survey,FALSE,TRUE
Simple easy and understanding,Begin of Survey,FALSE,FALSE
Not able to open the attachment,Begin of Survey,FALSE,FALSE
"We are looking at buying a $100,000 truck, and haven?t received a single communication from Lincoln. Unforgivable. Back to Mercedes, with pleasure",End of Survey,FALSE,FALSE
Husband had a heart attack then he was I don?t work trying to get caught up my dad was sick got cancer so I had to travel back-and-forth that?s the reason,End of Survey,FALSE,FALSE
"We are looking at buying a $100,000 truck, and haven?t received a single communication from Lincoln. Unforgivable. Back to Mercedes, with pleasure",End of Survey,FALSE,FALSE
"Hennessy Ford treated me professionally, stayed after closing time and were quite personable.",End of Survey,FALSE,TRUE
Nice people,Begin of Survey,FALSE,TRUE
Ford sucks,End of Survey,FALSE,FALSE
I was responded to within a reasonable amount of time,End of Survey,FALSE,TRUE
Kat is just a great person.,End of Survey,FALSE,TRUE
"I expected to receive a price quote as requested, but have only received survey emails.",End of Survey,TRUE,FALSE
Didn't have the truck l wanted,Begin of Survey,FALSE,FALSE
Did,End of Survey,FALSE,FALSE
Easy to submit and got a quick response,Begin of Survey,TRUE,TRUE
I received feedback from the dealership in a timely manner,Begin of Survey,FALSE,TRUE
not bad not excellant,End of Survey,FALSE,FALSE
The dealership responded several times over a 24 hour period,End of Survey,FALSE,TRUE
I submitted my request 4 days ago and I still haven't been contacted.,End of Survey,TRUE,TRUE
Quick response and gave me the information that I needed about the Nautilus,End of Survey,FALSE,TRUE
"People were nice, but price to high",Begin of Survey,FALSE,TRUE
"Very fast, very professional response.",Begin of Survey,FALSE,TRUE
I was promptly contacted by two different individuals through email and my cell phone.,Begin of Survey,FALSE,TRUE
Sometimes the questions are pushy and too early in the complete buying time...,End of Survey,FALSE,TRUE
I received a call and email about my request,Begin of Survey,FALSE,FALSE
I never got a follow up  to my last email,End of Survey,FALSE,FALSE
they took the time to help me,End of Survey,FALSE,FALSE
The finance amount offered was insufficient. I know what my credit scores are.,Begin of Survey,FALSE,FALSE
timely responses but not complete with best prices.,End of Survey,FALSE,TRUE
I still don?t have the information from this dealer that I requested,End of Survey,FALSE,TRUE
Everything was easy and they made it clear that they wanted my business.,End of Survey,FALSE,FALSE
The process was easy,Begin of Survey,FALSE,FALSE
I felt he had my interest in mind and it showed  during my dealing with Jose in buying the new pickup,End of Survey,FALSE,FALSE
Simple. Accurate.,End of Survey,FALSE,FALSE
The service was fast and complete. To bad you do not have what I want.,Begin of Survey,FALSE,FALSE
Because I was given the information right away.,End of Survey,FALSE,FALSE
"The salesman seemed disinterested is offering options other than the price match requested. You can always make up a difference in price with other perks. Ex. I can?t match the $10,000 price of the other dealer but I can do $12,999 and offer you a discount on the service plan and extended warranty. I can also give you 20 car washes for free.",End of Survey,FALSE,TRUE
It answered all of my questions.,End of Survey,FALSE,TRUE
Porque la informacion gue eficaz,Begin of Survey,FALSE,FALSE
Never received a reply.,End of Survey,FALSE,TRUE
Still very much in the preliminary process,End of Survey,FALSE,FALSE
Courteous and knowledgeable,Begin of Survey,FALSE,TRUE
Keith Barbour and the finance representative David were the two that left a top notch impression on me and because of the two of them I will give Leckner Ford first shot next time I look for a new vehicle.,End of Survey,FALSE,TRUE
Proper response,Begin of Survey,FALSE,TRUE
Response time was great.,Begin of Survey,FALSE,TRUE
Quick response to my questions,End of Survey,FALSE,TRUE
The guys were responcive and friendly.,Begin of Survey,FALSE,TRUE
satisfactory site in which to get information,End of Survey,TRUE,FALSE
Quick response and good information on the car I want,End of Survey,FALSE,TRUE
already stated in other answers.  they are useless and have lost a family of potential customers forever,End of Survey,FALSE,FALSE
easy method of contact with dealer,End of Survey,FALSE,TRUE
easy method of contacting dealer,End of Survey,FALSE,TRUE
"i was put into your website when looking around, i did not complete the questions, because it required to much personal info, i figured by not completing the questions, i would be left alone, but alas, i got called and emailed.",Begin of Survey,TRUE,TRUE
See prior comment,End of Survey,FALSE,FALSE
Received all the information I requested and the dealer was a pleasure with which to deal.,Begin of Survey,FALSE,TRUE
I?ve bought and sold several vehicles and the professionalism that was shown with the staff was better than I?ve seen at other dealerships.,Begin of Survey,FALSE,TRUE
"Reasons already given; polite conversation, no high pressure; offered to set up appointment.",End of Survey,FALSE,TRUE
again information not accurate to how I was lured in.,End of Survey,FALSE,FALSE
only 1 set up an appointment and then didn't show and gave other 2 dealers info on what i wanted but never heard back yet 3 days.,End of Survey,FALSE,TRUE
Received a call back quickly,Begin of Survey,FALSE,TRUE
Prompt Courteous service.,Begin of Survey,FALSE,TRUE
THEY RESPONDED TO ME AS SOON AS THEY CAN,End of Survey,FALSE,TRUE
easy direct contact,End of Survey,FALSE,FALSE
"As I said earlier prompt response to my inquiry, good follow up.",End of Survey,FALSE,TRUE
Got what I wanted.,End of Survey,FALSE,FALSE
Quick and friendly reply.,Begin of Survey,FALSE,TRUE
Because I sent a request to 2 dealerships- one dealership sent an immediate message that my message was received and that the salesperson would be in touch with me on Monday AM.  That dealership slaesperson sent a message right away on Monday AM.  I also received a follow up from that dealership to make sure I was contacted.  From Sid Dillion it was about 3 hours after the other one and a little slower to respond.,Begin of Survey,FALSE,TRUE
no responce,End of Survey,FALSE,TRUE
Fast response,Begin of Survey,FALSE,TRUE
No communication.,Begin of Survey,FALSE,FALSE
Only one time the over charged me.,Begin of Survey,FALSE,FALSE
"Someone contacted me online instantly, not from my local area, couldnt answer my questions.",Begin of Survey,TRUE,TRUE
Easy to go to your website,Begin of Survey,TRUE,FALSE
dealer responded with incorrect vehicle,Begin of Survey,FALSE,TRUE
Called first business day. Determined to make sure I scheduled an appointment.,Begin of Survey,FALSE,TRUE
I know I submitted after hours but I received an email response.,End of Survey,TRUE,TRUE
Met with salesman. Auto wasn't really what I was looking for,Begin of Survey,FALSE,TRUE
It was ok,End of Survey,FALSE,FALSE
Great service!,End of Survey,FALSE,FALSE
I was interested in closeouts,End of Survey,FALSE,FALSE
The dealer responded in 1 day.,Begin of Survey,FALSE,TRUE
I asked for an online quote. I only received an automated response. If I had been given a quote I would have taken it to the next step. I was interested in the vehicle I inquired about. Actually I still am.,End of Survey,TRUE,TRUE
Salesman shows genuine interest in helping the customer find the appropriate vehicle for his/her wants and needs.,End of Survey,FALSE,TRUE
Great service and product knowledge,End of Survey,FALSE,FALSE
Because the interaction to date demanded it. The rating in question was neither positive or negative at this stage of inquiry.,End of Survey,FALSE,TRUE
quick response,Begin of Survey,FALSE,TRUE
easy enough,End of Survey,FALSE,FALSE
Satisfied,End of Survey,FALSE,FALSE
He was honest,End of Survey,FALSE,FALSE
"emailed the dealer on Sunday regarding what is was looking for - they called me Monday morning - I went to another ford dealer to drive a truck I saw online and it had apparently been in an accident - so I took the sales reps card and told him what I was looking for ,he said he would call me   never did",Begin of Survey,TRUE,TRUE
good timely feed back.,End of Survey,FALSE,FALSE
Because I said so!,Begin of Survey,FALSE,FALSE
Received a prompt reply.,End of Survey,FALSE,TRUE
Response was fast,Begin of Survey,FALSE,TRUE
Timely call back and I received some good information,End of Survey,FALSE,TRUE
Timely and responsive,Begin of Survey,FALSE,TRUE
I just want a price.What part don?t you understand?,End of Survey,FALSE,FALSE
Excellent,Begin of Survey,FALSE,FALSE
I only submitted an online request I haven?t been to the dealership yet,Begin of Survey,TRUE,TRUE
"It was prompt, I did have to ?re-offer? when contacted by the salesman the first time. I don?t think he got to see my initial request for information, which included a price offer. But, after that he replied quickly and at first didn?t accept the offer. But worked hard with management to get me as close as he could.",End of Survey,FALSE,TRUE
phone call,Begin of Survey,FALSE,TRUE
took care of my request,End of Survey,FALSE,FALSE
Because every one was very nice and professioal.,Begin of Survey,FALSE,FALSE
The response was quick and professional.,Begin of Survey,FALSE,TRUE
I went in Monday and bought the car,Begin of Survey,FALSE,FALSE
I got contacted right way for what I was looking for!,Begin of Survey,FALSE,TRUE
They got back to me in a reasonable amount of time.,Begin of Survey,FALSE,FALSE
Misleading online calculator numbers. Expecting to start negotiations from that.,Begin of Survey,TRUE,FALSE
"Personable, friendly, professional and attentive.",End of Survey,FALSE,TRUE
Quick response,End of Survey,FALSE,TRUE
Representative contacted me later the same day. He was easy to talk to and great to deal with. Answered all my questions.,Begin of Survey,FALSE,TRUE
It nice knowing some one cared about needs you do not get that these days anymore,End of Survey,FALSE,FALSE
IDK,End of Survey,FALSE,FALSE
great experience and prompt response,Begin of Survey,FALSE,TRUE
Jason called and answered all questions i needed,Begin of Survey,FALSE,TRUE
We wanted a Ford. The Escape met our needs and the people at Independence ford are exceptional.,End of Survey,FALSE,TRUE
professional courteous informative,End of Survey,FALSE,TRUE
I got the answer I needed - in full,End of Survey,FALSE,FALSE
Site was easy to navigate,Begin of Survey,TRUE,FALSE
Prompt and courteous information.,Begin of Survey,FALSE,TRUE
Prompt initial response,End of Survey,FALSE,TRUE
We spoke to Eve snd said we would contact her. We are busy and have sime things coming up,End of Survey,FALSE,TRUE
Prompt reply,End of Survey,FALSE,TRUE
Wanted a quote to start and they just wanted to see my truck for trade in value,End of Survey,TRUE,FALSE
Was contacted promptly,Begin of Survey,FALSE,TRUE
Nice sales people,End of Survey,FALSE,TRUE
Quick response,Begin of Survey,FALSE,TRUE
They got in touch with me fast and answered all my questions.,End of Survey,FALSE,TRUE
na,End of Survey,FALSE,FALSE
No one has contacted me in a week after requesting info,End of Survey,FALSE,TRUE
My questions were all answered efficiently and courteously.,End of Survey,FALSE,TRUE
Polite & informative,Begin of Survey,FALSE,TRUE
Fast response,Begin of Survey,FALSE,TRUE
no body is perfect,End of Survey,FALSE,FALSE
All the dealers contacted me within 24 hours and were courteous and helpful.,Begin of Survey,FALSE,TRUE
i received several contacts.,End of Survey,FALSE,FALSE
Quick response from dealership,End of Survey,FALSE,TRUE
No contact back,End of Survey,FALSE,FALSE
they actually called me and emailed me in reference to the Fusion I'd like to  buy,End of Survey,FALSE,TRUE
"Preston was quick to contact me, and very helpful!",Begin of Survey,FALSE,FALSE
Courteous & prompt,Begin of Survey,FALSE,TRUE
Tiffany was extremely friendly and helpful.,Begin of Survey,FALSE,TRUE
They had the vehicle set aside for me when I got to the dealership,End of Survey,FALSE,TRUE
Customer service was very excellent if I had any questions they always have the answer,Begin of Survey,FALSE,TRUE
it's been days since I reached out.,End of Survey,FALSE,FALSE
My request is pretty simple yet it?s become very complicated,End of Survey,FALSE,FALSE
The sales staff contacted me promptly and were very accommodating.,Begin of Survey,FALSE,TRUE
Great response from Evan Schmit And knowledgeable,Begin of Survey,FALSE,TRUE
Quick follow-up.,Begin of Survey,FALSE,FALSE
It was just okay,Begin of Survey,FALSE,FALSE
They did respond even if I would have preferred e-mail.,End of Survey,FALSE,TRUE
The salesperson called me the next day after sending my request that evening.,Begin of Survey,FALSE,TRUE
Not what I was interested i,Begin of Survey,FALSE,FALSE
As noted it was easy and got me the answers I wanted in a reasonable amount of time,End of Survey,FALSE,FALSE
He was very professional and gave us a lot of information,End of Survey,FALSE,TRUE
Great customer serviceWe felt listened to,Begin of Survey,FALSE,FALSE
I got really good response from the Dealer's however working with the Ford dot-com website they will not let me open my account even though I set one up,End of Survey,TRUE,TRUE
Helpfull,End of Survey,FALSE,FALSE
BECAUSE THATS THE POWER OF THE HULKAMANICAS!,Begin of Survey,FALSE,FALSE
Although we haven?t met or visited the dealership they have contacted me several times.,Begin of Survey,TRUE,TRUE
Received email,End of Survey,FALSE,FALSE
"Return Response quickly, Would have liked to purchase the vehicle",Begin of Survey,FALSE,TRUE
I don't know,End of Survey,FALSE,FALSE
Lied to mevjust to get me in the stoere,End of Survey,FALSE,FALSE
AllStar Ford gave me a great deal and their customer service is second to none. They actually care about you as a customer,Begin of Survey,FALSE,FALSE
The internet sales manager Matt was very professional and understood my needs. He explained the car and terms very clearly.,Begin of Survey,TRUE,TRUE
"The dealership did get back with me, but after a couple of phone calls I was told the vehicle was ?not for sale? because it was a ?service loaner?. I found that odd because it?s a fairly expensive truck, and also because I just looked and it?s still on the web site listed as an available new truck. Really strange and kind of a waste of time.",Begin of Survey,TRUE,TRUE
Ease of use,Begin of Survey,FALSE,FALSE
Rep and dealership responsive to my questions.,End of Survey,FALSE,TRUE
Quick respond. All questions answered.,Begin of Survey,FALSE,TRUE
No price negotiation from dealership. I gave them my target number and they made no attempt to meet it. Just said the advertised price was not negotiable. I can pay advertised price at any dealership so why would I choose Cowles over someone closer to home.,End of Survey,FALSE,TRUE
Very quick response to my inquiry.,Begin of Survey,FALSE,TRUE
Strictly because Chris Cole has been going above and beyond.,End of Survey,FALSE,FALSE
I went to the dealer and found out the  c max is all sold out. They had a 2017 I drove but they aren't able to get any more... .I did also drive a Niro from Kia,Begin of Survey,FALSE,TRUE
"Yissell, Abdul and Rickie all treated me honestly and with respect and I appreciate that.",Begin of Survey,FALSE,FALSE
"promp, pleasant",End of Survey,FALSE,FALSE
Larry Curtisford has been extremely helpful and responsive,Begin of Survey,FALSE,TRUE
Submitted request with information that was not known by the person calling.,Begin of Survey,TRUE,TRUE
Fairly easy to navigate,Begin of Survey,TRUE,FALSE
Prompt and friendly reply from Grappone Ford,End of Survey,FALSE,TRUE
Simon Cowell offered a good explanation of the ?IT? factor on the American Idol show... I think - Google it,End of Survey,FALSE,FALSE
The staff was very friendly. I did not have a feeling that any of the sales associates had an alternative motivation to sell me a car. I felt like I was treated very fairly and they didn't waste time trying to get me to buy more than what I came for.,Begin of Survey,FALSE,TRUE
"I emailed a question and Only emails i got back where , Call me and lets talk. If I wanted to talk I would go to the dealership",Begin of Survey,FALSE,TRUE
yes.,End of Survey,FALSE,FALSE
Because Ford Vehicles carry it value in the making of the product.,Begin of Survey,FALSE,FALSE
All of my questions were answered and the salesman was really nice and thourouh.,End of Survey,FALSE,TRUE
they really listened,End of Survey,FALSE,FALSE
I did get useful information. Although I just wanted it done on line.,End of Survey,FALSE,FALSE
The salesman was prompt and really tried to work things out,Begin of Survey,FALSE,TRUE
Replied very quickly and courteously,Begin of Survey,FALSE,TRUE
They responded promptly and were vehicle very polite,End of Survey,FALSE,TRUE
See first comment,End of Survey,FALSE,FALSE
Call back was great and my uncle bought a truck from this dealership two years ago,End of Survey,FALSE,TRUE
I wanted a price quotation and I didn't get one,Begin of Survey,FALSE,FALSE
Poor communication from the dealership,Begin of Survey,FALSE,TRUE
Easy to fill out and to submit,Begin of Survey,TRUE,FALSE
Your internet manager Julie has been extremely aggressive and trying to reach me and help me due to a bankruptcy discharge I feel as though I'm not eligible for financing to my surprise she is gone above and beyond what I expected. James Christie is also reached out to me and unfortunately I've tried to return his call but he has been unavailable. On a scale of 1 to 10 I would rate Julie a 10in customer service representation of Salem Ford. Thank you for giving me the opportunity to work with you. I've heard so many broken promises from other dealerships in the past that I've been reluctant to come in because I'm tired of having my credit ran and being disappointed after sitting around for 2 hours. I truly believe Julie when she's told me she's gone and spoken to the finance manager and reassured me there is something she can do to help me. As a new customer and a poor credit situation Julie has been remarkable to me thank you sincerely John Roy,Begin of Survey,TRUE,TRUE
quick response,Begin of Survey,FALSE,TRUE
I have had a good experience when i have spoken with someone,End of Survey,FALSE,TRUE
Was easy,End of Survey,FALSE,FALSE
"Quick to respond; a little slow to answer the actual question, but responsive and friendly.",Begin of Survey,FALSE,TRUE
No one contacted me,End of Survey,FALSE,TRUE
"Because they responded, they did not have what I was looking for at the time.",Begin of Survey,FALSE,TRUE
Never got any of information requested,End of Survey,FALSE,FALSE
Just want to special order a PU.  The local dealers are having trouble helping me.,End of Survey,FALSE,TRUE
I was contacted shortly after submitting my request.,Begin of Survey,TRUE,TRUE
Was never contacted and never set up a viewing,Begin of Survey,FALSE,TRUE
it was easy and straight forward,Begin of Survey,FALSE,FALSE
Prompt and courteous service.,Begin of Survey,FALSE,TRUE
All procedures were followed in a timely manner.,End of Survey,FALSE,FALSE
received immediate response,End of Survey,FALSE,TRUE
quick response,Begin of Survey,FALSE,TRUE
I'm asking for hatchbacks and they keep sending me sedans!,Begin of Survey,FALSE,FALSE
Had reasonable information as for my interest,Begin of Survey,FALSE,FALSE
Friendly salesman to deal with.  You were Higher than another dealer on the same vehicle so we're heading elsewhere.  Thanks,Begin of Survey,FALSE,TRUE
They blew up my phone with calls while I was trying to teach.,End of Survey,FALSE,TRUE
Dealership responded quickly. Didnt be overbearing. Answered my questions.,Begin of Survey,FALSE,TRUE
Friendly contact will all questions answered.,End of Survey,FALSE,TRUE
Recontact within 24 hrs.,End of Survey,FALSE,FALSE
Because it was an easy experience.,Begin of Survey,FALSE,FALSE
I purchased a new F150 with sales person Luis,Begin of Survey,FALSE,TRUE
Great overall experience,End of Survey,FALSE,FALSE
They won?t give a quote on the car you want,Begin of Survey,TRUE,FALSE
Easy to navigate,End of Survey,TRUE,FALSE
very good service.a call right back in minutes.really wanting to male a deal.and I hope we can.,Begin of Survey,FALSE,FALSE
I was contacted very promptly and the person was very courteuos.,Begin of Survey,FALSE,TRUE
It was timely and direct.,End of Survey,FALSE,FALSE
Knowledgeable sales staff. Friendly and could not be more helpful. No scams & no high pressure sales pitch. Felt i was among friends not judt sales people trying to sell me somethingI,Begin of Survey,FALSE,TRUE
I was just looking around. Nothing special,Begin of Survey,FALSE,FALSE
The response was good.,Begin of Survey,FALSE,TRUE
Many lease rebates allowed me to get the car (suv) I wanted.,Begin of Survey,FALSE,FALSE
Responded to my call and listened to my request.,End of Survey,FALSE,TRUE
"Sales person (I believe Dave) was very helpful and accommodating and located a Continental for us and would make arrangements to obtain same. We decided to hold off for 2 reasons, 1- I'm having surgery on 10-5 and will be laid up for a while and 2 - my age makes a wise purchase questionable.",Begin of Survey,FALSE,TRUE
Cedric was very knowledgeable and a great sales person.,Begin of Survey,FALSE,TRUE
I work for Ford. I drive a Ford.,End of Survey,FALSE,FALSE
Didn?t gets what I Needed,End of Survey,FALSE,FALSE
"I contacted the dealer to determine if the vehicle I was interested in was still available, since my local Ford dealership contacted this dealership and was refused a trade for the vehicle. The manager informed me that they wouldn't trade because another customer was interested in the vehicle. Yet, literally minutes after I heard from the manager, the salesman called me and said he put the vehicle on hold for me so I could pack up my wife and 3 year old, and drive nearly 4 hours to purchase the vehicle from him. If another person was interested in the vehicle, how could they hold it for me? If they could hold it for me, why could they not trade it to my local dealer to make the situation more convenient?",Begin of Survey,FALSE,TRUE
I received the info i asked for,End of Survey,FALSE,FALSE
already explained above. Definitely the worst response of any manufacturer so far.,End of Survey,FALSE,TRUE
Great customer service.,Begin of Survey,FALSE,FALSE
"We did purchase a Taurus 2017 Limited.  Customer service equals there was no customer service whatsoever!  We purchased from North Coast Auto Mall in Cleveland, OH.",End of Survey,FALSE,FALSE
n/a,Begin of Survey,FALSE,FALSE
"Quick response, presented something that might possibly interest me",End of Survey,FALSE,TRUE
"Not finding the exact vehicle I want. This particular dealer was great about setting up an appointment and giving me the opportunity to sit down with a salesman, but the salesman had very little interest in helping me get the exact vehicle I want - just wanted me to drive off in the next closest thing on the lot.",End of Survey,FALSE,TRUE
It started the process,Begin of Survey,FALSE,FALSE
I was contacted that same day,Begin of Survey,FALSE,TRUE
Complete information in an easy to follow format,End of Survey,FALSE,FALSE
It is clear that your dealers do NOT read the requests or try to respond.  They have a cook book about sales leads.  I am low hanging fruit.  I need 2 trucks right away and they could not care less.,End of Survey,FALSE,TRUE
I had everything i needed,End of Survey,FALSE,FALSE
Talking with Matt going out to see truck,Begin of Survey,FALSE,TRUE
Ease of use of the website,End of Survey,TRUE,FALSE
Contacted within a few hours of submitting request,Begin of Survey,TRUE,TRUE
Easy to follow,Begin of Survey,FALSE,FALSE
"Responsive, professional, knowledgeable and helpful",Begin of Survey,FALSE,TRUE
Easy to make contact and get a response very quickly.  It was this quick response that eventually led to our purchase as other dealers did not respond as quickly.,Begin of Survey,FALSE,TRUE
because it is,End of Survey,FALSE,FALSE
Someone replied to my request within a day but we ended up looking at a different car instead,Begin of Survey,FALSE,TRUE
they gave clear concise information - all electronically   I like that,End of Survey,FALSE,FALSE
"The price was to high on the car quoted, I purchased a car with more amenities for less money that the car I was looking at.  I ended up with a car $8125 off of MSRP and I am very happy with it.",Begin of Survey,TRUE,FALSE
i bought the car,End of Survey,FALSE,FALSE
timely response,End of Survey,FALSE,TRUE
No problems,End of Survey,FALSE,FALSE
The dealer Bill Williams returned out call in a decent amount of time and set up our appointment.,End of Survey,FALSE,TRUE
Easy and simple.,Begin of Survey,FALSE,FALSE
Because of rep Brittney Mancuso,End of Survey,FALSE,TRUE
fast reply by email,Begin of Survey,FALSE,TRUE
it was OK,End of Survey,FALSE,FALSE
They have stayed in contact with me.,Begin of Survey,FALSE,FALSE
was helpful and able to answer all my questions,Begin of Survey,FALSE,TRUE
Good info.,Begin of Survey,FALSE,FALSE
I got prompt accurate information,End of Survey,FALSE,TRUE
No sales person has ever attempted to contact me. I am a serous buyer and feel like I would not want to buy from this dealership due to the non response,End of Survey,FALSE,TRUE
Price is always a concern with a customer,End of Survey,FALSE,FALSE
We had some obstacles to overcome but they rose to the challenge and we succeeded in making a purchase happen.,Begin of Survey,FALSE,FALSE
"First time doing on line, I prefer face to face.",End of Survey,FALSE,FALSE
Was at least put on hold for five minutes by the answering person. No response since.,End of Survey,FALSE,TRUE
The only contact was an email stating that they didn?t have the ?unit? I was requesting. There was a message that they would help me find one if needed.,End of Survey,FALSE,FALSE
I was contacted in a timely fashion with all the information that I needed,End of Survey,FALSE,TRUE
quick reply,Begin of Survey,FALSE,TRUE
Got everything I needed.,End of Survey,FALSE,FALSE
quick reply and continued attempts to contact,Begin of Survey,FALSE,TRUE
experience,Begin of Survey,FALSE,FALSE
We did all of the items over the phone since i drove for 2 hours to get the car.,Begin of Survey,FALSE,TRUE
Because it is very hard to get an excellent rating,Begin of Survey,FALSE,FALSE
see previous comment,End of Survey,FALSE,FALSE
Quick response and was very informing of what rebates and equipment the vehicle had,Begin of Survey,FALSE,TRUE
"Prompt response, needed info given, questions answered, other options offered.",End of Survey,FALSE,TRUE
Quick response with the information I needed,End of Survey,FALSE,TRUE
"Received a callback, but only one Explorer for $40k a, but none of the F150?s. I am looking for Explorer XLT with leather, rear AC, power liftgate or F150 crew cab with incentives. Will have to check on website again for incentives.",Begin of Survey,TRUE,TRUE
The contact & salesmen,Begin of Survey,FALSE,TRUE
They was helpful and good,End of Survey,FALSE,FALSE
no comment,End of Survey,FALSE,FALSE
"Immediate contact and put me to my regular salesperson, Mack Gange",Begin of Survey,FALSE,TRUE
You responded quickly and I actually got to speak with someone.,End of Survey,FALSE,TRUE
Excellent service,Begin of Survey,FALSE,FALSE
Excellent customer service. And Alex Kalucki my dealer went above and beyond for me.,Begin of Survey,FALSE,TRUE
Since I have been dealing with this dealership they have always taken good care of me and I have been very satisfied with all of the people I have dealt with,Begin of Survey,FALSE,TRUE
"Again, they were prompt and seemed to be very interested in getting back to me and setting up face to face meeting",End of Survey,FALSE,TRUE
HE GOT BACK IN A TIMELY MANNER,End of Survey,FALSE,FALSE
.,Begin of Survey,FALSE,FALSE
Have not been contacted,End of Survey,FALSE,TRUE
Responsive time was quick and when speaking polite and understanding,Begin of Survey,FALSE,TRUE
If I was approved I might have felt a little happier,End of Survey,FALSE,FALSE
Very eager yet tot pushy.,Begin of Survey,FALSE,FALSE
"Quick, clear, polite, professional engagement.",Begin of Survey,FALSE,TRUE
"Chris Volk was prompt and accurate. Zero pressure, it was more like talking to a friend that past sales experiences I've had.",Begin of Survey,FALSE,TRUE
I wanted to see inventory & details...not surveys & 100 questions before even seeing a vehicle.....,Begin of Survey,FALSE,TRUE
By the time that they answered me I was already working on a deal with the President of the dealership.,Begin of Survey,FALSE,TRUE
No quotation yet,End of Survey,FALSE,FALSE
Was contact very quickly,Begin of Survey,FALSE,FALSE
It was easy.,Begin of Survey,FALSE,FALSE
I had an e-mail almost overnight.,Begin of Survey,FALSE,FALSE
You not getting back,End of Survey,FALSE,FALSE
We bought the car.,End of Survey,FALSE,FALSE
Sales person personable and very helpful,Begin of Survey,FALSE,TRUE
"Friendly, warm and experience!",Begin of Survey,FALSE,TRUE
"WAS CONTACTED WITH IN 1 MINUTE, THANKS",Begin of Survey,FALSE,TRUE
Efficient,Begin of Survey,FALSE,FALSE
Fast response time,Begin of Survey,FALSE,TRUE
