cx_q2,cx_flag,Question Placement,Web,Dealership
Great follow up and follow through,2,Begin of Survey,FALSE,FALSE
Didn't get a response,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
I was building the truck on line and before I finished Cindy from Conway Ford called me!!!,2,Begin of Survey,FALSE,TRUE
Quick email response - followed by a phone call.,1,End of Survey,FALSE,TRUE
"Respect, courtesy and professionalism by dealer.",1,End of Survey,FALSE,TRUE
"They never answeted answered my question about how much a 2018 was. I was never physically shown a vehicle.  Only 2 online and th escape was a model that was a loaner car that he needed to move off the lot. Their only concern was how much i wanted my payments to be. Regardless of Of how unrealistic my momtjly monthly payment needs were, they still never answered my question nor showed me the csr i inquired about. Word if advice - Don't cherry -pick your  leads. You have no idea what my financial situation is. I migjt of considered buying with a higher note or paying cash. Im glad I went to your dealership so that you could be crossed off my list of options.",2,Begin of Survey,TRUE,TRUE
Quick response,2,Begin of Survey,FALSE,TRUE
Connor Carle was very responsive.  He hunted around and found us the exact model we were looking for - we purchased it this past Saturday.,2,Begin of Survey,FALSE,TRUE
minimized importance of my question,1,End of Survey,FALSE,TRUE
quick response,2,Begin of Survey,FALSE,TRUE
Reponse time was great,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
was very helpful just didnt have what I was looking for in stock.,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
..,2,Begin of Survey,FALSE,FALSE
Everyone was very courteous and helpful.  We looked at a handful of trucks and Robert was very helpful in locating and getting us a test drive.  The manager and finance guys were helpful and attentive.,1,End of Survey,FALSE,TRUE
Nobody contacted me.  And when I contacted them they said they couldn't see what I had built online.  Only the year and model.,1,End of Survey,TRUE,TRUE
Great rssponse friendly staff great experience,2,Begin of Survey,FALSE,TRUE
"Again...informative,polite and not ""pushy""",1,End of Survey,FALSE,TRUE
Online issues,2,Begin of Survey,TRUE,FALSE
,1,End of Survey,FALSE,FALSE
"Sometimes, I had to wait for rply until the next day.",1,End of Survey,FALSE,FALSE
"We went in very unsure about what we wanted,but left feeling very satisfied with our choice, we we're helped at all stages of the process and have no complaints.",1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Dealer has not followed through with requested information,1,End of Survey,FALSE,TRUE
Quick response time from a rep with no pricing games.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
"The car is now 2 years old, with a pro rated warranty and I was being asked to purchase a car that would be out of spec as to my driving conditions in 2 years. Why would I want to over pay for a 2017 when I could get a 2018 or 2019 with a full Ford warranty... was never asked or inquired... they just wanted to sell the 2 year old car, very poor salesmanship by the dealership.",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Just because,1,End of Survey,FALSE,FALSE
Response time was excellent unfortunately the price was $5000 over list ?Found one in another state for list price,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
"I have attempted to communicate with Bruce Bressler multiple times with no response. The Labor Day sale is almost over, and I will no longer be interested in a vehicle after that time.",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Easy to do,2,Begin of Survey,FALSE,FALSE
No follow up.  No call back with the follow up from me.,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
"because i have received emails from both  and talked to one Dealer, but still not able to close any deal at this time. I have a  little time around two months before i make the final decision, that is why I have rated very Good thus far.",1,End of Survey,FALSE,TRUE
"Erin was prompt pleasant, and professional in all her contacts with me.",2,Begin of Survey,FALSE,TRUE
The dealership did not seriously consider the trade in question.  I feel that the value was $3000 less than it should of been.  Ergo no deal was made for the truck.,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
easy.,2,Begin of Survey,FALSE,FALSE
no e-mail price,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
I got all the information I was seeking and in a very friendly and thorough manner.,2,Begin of Survey,FALSE,TRUE
"When i did speak to someone, i requested a price on a vehicle that i test drove a couple days earlier, i was sent an offer sheet thru email. After waiting 3hrs for answer i just happen to check my email orther wise wouldn't know. Wasted 3hrs of my day",2,Begin of Survey,FALSE,TRUE
No comment,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Cause it wasn?t an immediate response but a response none the less.,2,Begin of Survey,FALSE,TRUE
I rated my experience very good because the dealer representative responses ultimately made me pull the trigger on leasing the 2018 EcoSport.,1,End of Survey,FALSE,TRUE
Truly professional service Excellent deal,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Received a prompt reply by email as well as by phone and made arrangements to meet right away.,2,Begin of Survey,FALSE,TRUE
I got what i wanted and the experience was great,2,Begin of Survey,FALSE,FALSE
Ford is the best!,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
All employees were very helpful and knowledgeable. We were treated like family. The environment of the dealership was very welcoming.,2,Begin of Survey,FALSE,TRUE
see previous answers,1,End of Survey,FALSE,FALSE
Nobody from the deal contacted me from the online enquiry. I dealt with someone in person at the dealer,1,End of Survey,TRUE,TRUE
Courteous but not specific,1,End of Survey,FALSE,TRUE
It served it's purpose.,2,Begin of Survey,FALSE,FALSE
It was ok,1,End of Survey,FALSE,FALSE
made dcision quickly and easily  purchased car,1,End of Survey,FALSE,FALSE
"I recieved what i asked for quickly, the texts were helpful and even set up an appointment to come test drive and check out the car i was interested in. Everything was set up within 45 minutes or less with good information and minimal hassle for me.",1,End of Survey,FALSE,FALSE
some one got back quickly,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
I requested an internet price on a unit you have in stock and I got two phone calls. I still have not received a internet quote.  When I do I might have something to ask about.,2,Begin of Survey,TRUE,TRUE
Not all questions answered,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
got back next business day,2,Begin of Survey,FALSE,FALSE
I was contacted,2,Begin of Survey,FALSE,TRUE
Excellent,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
I received a call right away.,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Prompt contact and professional approach,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
I was contacted immediately and given quotes for the vehicle I was reviewing but right now I am to busy with my sons band schedule and work to come in,2,Begin of Survey,TRUE,TRUE
No follow up,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"Again, i received a prompt and helpful response, what else is important?  They fulfilled my request and did so quickly.",1,End of Survey,FALSE,TRUE
The only thing was not telling me the correct price other than that the person was very nice. I wanted that  Ford for the price they showed on cell phone and my computer when advertised.,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
It was limited experience,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Quick response with the vehicle I wanted. No substitutes.,1,End of Survey,FALSE,TRUE
not contacted,1,End of Survey,FALSE,TRUE
I clicked om internet pricing for a biild and priced vehicle and didn?t get it.,1,End of Survey,TRUE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"no problems except I couldn't get a rough price without filling out my name, etc. . I would have wanted at least a sticker price to start.",1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Because it was Excellent!,2,Begin of Survey,FALSE,FALSE
Confusing while building a truck. Kept adding a package and subtracting a package. Couldn?t tell what i was getting.,2,Begin of Survey,FALSE,FALSE
quick return on phone calls from Dealers,2,Begin of Survey,FALSE,TRUE
I just feel that.. We customers with bad credit should have more than one bank or lender institute to go thru,1,End of Survey,FALSE,FALSE
"Submitted for Mustang Bullitt,Received information on every Mustang Except information on Bullitt which I submitted (Odessa) Dealership.",2,Begin of Survey,TRUE,TRUE
Great dealer ship,1,End of Survey,FALSE,TRUE
quick and easy,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
the easy of it.,1,End of Survey,FALSE,FALSE
Immediate response and helpful info,1,End of Survey,FALSE,TRUE
N/A,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
N/A,2,Begin of Survey,FALSE,FALSE
No one contacted me,1,End of Survey,FALSE,TRUE
did not  call,1,End of Survey,FALSE,FALSE
"Staff was professional, courteous, friendly, and patient.  Committed to meeting my need.",2,Begin of Survey,FALSE,TRUE
The price info was very clear.,2,Begin of Survey,FALSE,FALSE
It was convenient,1,End of Survey,FALSE,FALSE
Easy to do,2,Begin of Survey,FALSE,FALSE
"My request was for information on a Ford Escape, but the email response I received was for a Ford Transit.   Sending a reqest for information through the Ford website was a waste of time.",2,Begin of Survey,TRUE,TRUE
My salesman was more then helpful and it fast and pleasant,2,Begin of Survey,FALSE,TRUE
The product is underpowered,1,End of Survey,FALSE,FALSE
good sales people,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Si,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Three reps from different dealers called me or emailed. But I found the car that best fit t mother dealer on the web. The contact at Kings Ford doesn?t seem to read my emails.,2,Begin of Survey,TRUE,TRUE
I bought the truck,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Promptly responded and answered by question,2,Begin of Survey,FALSE,TRUE
Everyone was helpful. Ended up buying a  car.,2,Begin of Survey,FALSE,FALSE
Three attempts at communicating via emails with nothing coming through from the dealer. I requested another attempt this morning and no response.,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Prompt and friendly service,2,Begin of Survey,FALSE,TRUE
"it doesn't have to be complicated. Just respond to the question ""what is your bottom price of this vehicle""",1,End of Survey,FALSE,TRUE
I got the car I was looking for.,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
it would have been better if I had received quotes for the vehicle I was specifying while on Edmunds.com,1,End of Survey,TRUE,FALSE
"Slow responses, ALL dealers are marking Bullitt Mustangs up to 3 to 20 thousand over sticker price and Ford allows it.",1,End of Survey,FALSE,TRUE
"it would have been excellent if the information forwarded to the dealerships was what I had filled out on Edmunds before I selected ""request dealer quote"".  I had to spend time again, telling 4 dealers exactly what I was looking for.",1,End of Survey,TRUE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Was contacted almost immediately,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
my questions were not answered,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
promptly replied,2,Begin of Survey,FALSE,TRUE
"The salesman was knowledgeable, helpful and did not pressure me.",2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Nice interaction,1,End of Survey,FALSE,TRUE
Excellent customer service!,2,Begin of Survey,FALSE,FALSE
"Justin Land was quick and courteous, we came to agreement to purchase a 2018 Shelby GT350-R Mustang!",2,Begin of Survey,FALSE,TRUE
Answered my questions & began a relationship with me.,1,End of Survey,FALSE,TRUE
"Everything is fine. I was just hoping to get one of those 3,000 dollar certificates towards a new F150 to help offset how upside down I am in my Fusion.",2,Begin of Survey,FALSE,FALSE
The sales representative contacted me the same day and brought the vehicle to me for a demo that afternoon.  Great service!,2,Begin of Survey,FALSE,TRUE
I only buy Fords.,1,End of Survey,FALSE,FALSE
Call was never returned ever after speaking with someone,1,End of Survey,FALSE,TRUE
Very informative,2,Begin of Survey,FALSE,FALSE
Mm,1,End of Survey,FALSE,FALSE
The sales manager contacted me as soon as he received word that pre-orders were being accepted...I was the first one in my town!!!,2,Begin of Survey,FALSE,TRUE
Quote was sent right away. Very initial stages of looking for a vehicle am comparing several models,2,Begin of Survey,TRUE,FALSE
Quick response time,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
"I am handicapped, I speak English clear and concisely; so I hate having to repeat the same phrase over and over; I very much dislike when my time is wasted when the Salesperson  knew the day before the model and color vehicle I was coming to the dealership to see and the vehicle isn't there, that is plain poor job performance in any field of industry unless the master plan was to stick me with the Special Order that fell through with out discount.",1,End of Survey,FALSE,TRUE
Great  service,1,End of Survey,FALSE,FALSE
I received a call immediately from the dealership,2,Begin of Survey,FALSE,TRUE
"Sales person was straight forward and precise with all information. I felt comfortable, there was no pressure, it just worked out very easy.",2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Top notch team,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
They answered my questions and offered to help me in my search.,2,Begin of Survey,TRUE,TRUE
"oit all started with a loaner vehicle for my F150. got a Escape 2018, great sale ploy by the way, wife liked it, kids liked it....but everything they did for me while my vehicle was down was outstanding, then the real truth came out, got there and then my wife make a small comment that the Escape was a little small, now were looking at the Edge...Titanium of course...bad ford, bad ford..but thanks for the motivation for a new vehicle, just waiting now for closure on a re-fi and then back to Park Rapids Ford to close the deal",2,Begin of Survey,FALSE,FALSE
N/A,1,End of Survey,FALSE,FALSE
Vary knowledgeable and good natured,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Agent contacted me within 24 hrs.,2,Begin of Survey,FALSE,TRUE
seamless encounter,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
very quick response and action on my request.,2,Begin of Survey,FALSE,TRUE
Almost an immediate call back with the information.,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Quick response and received an invitation to come and drive the car.,1,End of Survey,FALSE,TRUE
Not use to doing on line quotes,2,Begin of Survey,TRUE,FALSE
great cooperation and knowledge of salesman,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
He was very nice to me,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
The guys at Casco Bay Ford are always helpful and go above and beyond to give the best customer service.,2,Begin of Survey,FALSE,FALSE
got me a quote for what i asked,2,Begin of Survey,TRUE,FALSE
This dealerships in Hendersonville nc price very high customer service was bad,2,Begin of Survey,FALSE,TRUE
she was great,2,Begin of Survey,FALSE,FALSE
My salemen were friendly and professional,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Very prompt and polite when talking to the lady who called. When getting to the dealership different story,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
I received a follow up email about a color and test drive but never heard back.,1,End of Survey,FALSE,FALSE
I didn't need the quote any more.  Do not contact me again,2,Begin of Survey,TRUE,FALSE
"Returned my request in a timely manner. Spoke with a rep from the dealership. Very professional. Test drove vehicle we were interested in, and purchased a new Explorer Limited.",2,Begin of Survey,FALSE,TRUE
Same as above,1,End of Survey,FALSE,FALSE
"prompt, courteous, and followed up",2,Begin of Survey,FALSE,TRUE
No request was made for quotes,2,Begin of Survey,TRUE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"It was fair, nothing too good and nothing too bad.",1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"Earnhardt Ford seems to be a dishonest place to buy a car.  Does not want to send any pricing information first.  They just want you to drop everything and come to the dealership.  I have a job as well.Their sales people are very pushy, often times to the point of being just plain rude.I have heard this from many people who have visited there.",1,End of Survey,TRUE,TRUE
Very friendly and knowledgable,2,Begin of Survey,FALSE,TRUE
Communication has been above expectations,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
didn't have the veh in inventory. I won't to be able to do a walk around befor I committ,1,End of Survey,FALSE,FALSE
I have not heard back from anyone since my on-line trade-in quote.,1,End of Survey,TRUE,FALSE
Just good people!,2,Begin of Survey,FALSE,TRUE
someone proided info I did not have ....clearly & one point.,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Prompt response,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
got the info fast and just what i wanted to know,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
No return call,1,End of Survey,FALSE,FALSE
Bought this vehicle.,2,Begin of Survey,FALSE,FALSE
The process was smooth and easy.,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Excellent!,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
great salesman,2,Begin of Survey,FALSE,TRUE
The response was very prompt.  I asked for text only and no calls and that's what I got.,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
prompt response. direct to the point.,1,End of Survey,FALSE,TRUE
Large sections.,1,End of Survey,FALSE,FALSE
Price is toohigh,2,Begin of Survey,FALSE,FALSE
4 dealers replied,1,End of Survey,FALSE,TRUE
They responded but did not answer my questions,2,Begin of Survey,FALSE,TRUE
Gave me what was requested,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
I received a phone call within minutes of submitting my query online,2,Begin of Survey,TRUE,TRUE
I received a quick response to my request and a phone call.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Nick Durdan was prompt in getting us the information and pricing that we requested.,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Amanda Gore was extremely helpful in getting me to come into your dealership.  She answered my questions and put me in touch with Chris the salesperson who was also very helpful.  Thank you!,2,Begin of Survey,FALSE,TRUE
because it was good. i'm just here for the prize.,2,Begin of Survey,FALSE,FALSE
Courteous and friendly,2,Begin of Survey,FALSE,TRUE
Honesty,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Immediate response,1,End of Survey,FALSE,TRUE
I dont have car yet,1,End of Survey,FALSE,FALSE
Answered all my concerns,1,End of Survey,FALSE,TRUE
it was unremarkable.,2,Begin of Survey,FALSE,FALSE
Fast response,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
"Responsive, factual, accurate",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
I was called and e-mailed timely,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Great service,1,End of Survey,FALSE,FALSE
got what we wanted,1,End of Survey,FALSE,FALSE
i eneded up getting it for the price i wanted but took 2 hours to get it there. first was 244 then 225 then 220 them 215 then 205 them finally 200. i told them fron get go 200 is my max,1,End of Survey,FALSE,TRUE
Helpful,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
The website was easy to navigate through and i received a call back within 48 hours,1,End of Survey,TRUE,TRUE
,1,End of Survey,FALSE,FALSE
One dealership did not respond...,1,End of Survey,FALSE,TRUE
The dealer attempted to contact me but not with the information I was looking for.,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
I don't like playing the salesmanship game. I would like to know the bottom line price.,2,Begin of Survey,FALSE,TRUE
Very prompt response and sales rep answered all my questions.,2,Begin of Survey,FALSE,TRUE
Timely response,1,End of Survey,FALSE,TRUE
Someone got in contact with me pretty quickly and answered my question.,2,Begin of Survey,FALSE,TRUE
They responded to me in a timely fashion - I just felt like it wasn't personal - I decided my. Ethos of calling in would work better for me,1,End of Survey,FALSE,TRUE
Good overall experience.,1,End of Survey,FALSE,FALSE
Because I knew that the sales people were sincere in helping me find the right vehicle for me when I arrived.,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
It was easy to do,1,End of Survey,FALSE,FALSE
The salesman listen to me on what I was looking for and the price range I was looking for.,1,End of Survey,FALSE,TRUE
Didn't get the price quote on the vehicle that I had built on the Ford website.,2,Begin of Survey,TRUE,FALSE
Timely response and answered all my questions,1,End of Survey,FALSE,TRUE
great service,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Thank You,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
The sales person never sent me anything to confirm my appt. for Friday at 10am,2,Begin of Survey,FALSE,TRUE
They responded quickly and sincerely.,2,Begin of Survey,FALSE,TRUE
Haven?t been contacted,1,End of Survey,FALSE,TRUE
replied to me right away,2,Begin of Survey,FALSE,TRUE
Prompt and polite,1,End of Survey,FALSE,TRUE
responded quickly,2,Begin of Survey,FALSE,TRUE
Fairly clear web site.,2,Begin of Survey,TRUE,FALSE
FORD as a whole has always been top notch.  My interaction with any rep of FORD has been good.,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
They were very professional,2,Begin of Survey,FALSE,TRUE
The sales rep sent me an e-mail right away with his picture and phone #.,2,Begin of Survey,FALSE,TRUE
Got prompt responses and good info,1,End of Survey,FALSE,TRUE
I had no issues.,2,Begin of Survey,FALSE,FALSE
"Every time i asked a question, the reply was within 24hrs.",2,Begin of Survey,FALSE,TRUE
"Easy, quick and complete",1,End of Survey,FALSE,FALSE
Contact through text!,1,End of Survey,FALSE,FALSE
"Friendly, customer oriented.",1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
WANTED TO SEE VEHICLE PRICES.,1,End of Survey,FALSE,FALSE
"The sale rep was friendly, helpful, and quick to respond.",2,Begin of Survey,FALSE,TRUE
They worked with me good and fast,1,End of Survey,FALSE,FALSE
Easy to do,1,End of Survey,FALSE,FALSE
Tim Tweedt was all over this from 900 miles away. All questions/concerns answered within the hour. Even offered their ability to take care of out of state taxes licensing due to their experiences.,1,End of Survey,FALSE,TRUE
The dealer rep who contacted me doesn't understand the difference in trim levels vs packages or bodykits. I'm looking for an explorer sport with awd and a tt v6. The dealer rep keeps insisting that anything that looks at all sport must be a sport model. I have yet to see one example of an actual sport model in stock at the local dealership.,2,Begin of Survey,FALSE,TRUE
Not pressured and very timely response,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
577/602,1,End of Survey,FALSE,FALSE
i received the info I needed promptly. Thanks.,2,Begin of Survey,FALSE,TRUE
I received the information i needed,1,End of Survey,FALSE,FALSE
Solid help,2,Begin of Survey,FALSE,FALSE
I got the information I wanted.,1,End of Survey,FALSE,FALSE
I had to call the dealership myself and it took two days to get someone to answer.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Quick response,2,Begin of Survey,FALSE,TRUE
Wonderfully text messaged me right away with warmth and real concern. And more than once. Blew me away how warm and concerned this salesman was. Trisha was so warm and made me feel comfortable before I even met this salesman.      Jerry Gill,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"Fast, professional & friendly response.",2,Begin of Survey,FALSE,TRUE
Instead of getting the answer to my inquiry I received numerous emails and never received an answe. Instead of a bottom or even a near bottom line price on a truck( and let?s face it if I let you know exactly what I?m looking for in a truck you can give me a round about answer) I was told to get a sticker from another dealer and you would beat it. Pretty lazy attitude if you ask me.,2,Begin of Survey,FALSE,TRUE
Prompt follow upExcellent serviceIn and out quickly,2,Begin of Survey,FALSE,TRUE
See previous answers.,1,End of Survey,FALSE,FALSE
3rd attempt to get requested information,1,End of Survey,FALSE,FALSE
"quick responds from Hughes, not excellent because I now am getting bombarded with e-mails and phone calls from others",2,Begin of Survey,FALSE,TRUE
I had an easy time,2,Begin of Survey,FALSE,FALSE
i was contacted immediately and referred to a vehicle right away,2,Begin of Survey,FALSE,TRUE
No problems. Have not made a buying decision yet.,1,End of Survey,FALSE,FALSE
"would not let me enter some info, was not complete",1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
"No one has contacted me.Fortunately, another dealer did so immediately following my request and I have purchased a new 2018 Explorer from that dealer",1,End of Survey,FALSE,TRUE
No one contacted me.,1,End of Survey,FALSE,TRUE
Our service was top notch.,1,End of Survey,FALSE,FALSE
All of these online platforms are a waste.  I want to buy a truck.  You online people just want to shoot emails around the world.  At some point somebody has to quit talking and sale a vehicle.  This platform doesn?t get that.  I don?t need a friend I need a vehicle.,1,End of Survey,TRUE,TRUE
"They responded promptly,  i signed a purchase agreement,  sent a deposit all within a day or so of sending the build",2,Begin of Survey,FALSE,TRUE
Quick response,2,Begin of Survey,FALSE,TRUE
there was no pressure. answered all questions. salesman was a good listener and acted accordingly.,1,End of Survey,FALSE,TRUE
Eric Pyne emailed me the same day with in hours.,2,Begin of Survey,FALSE,FALSE
Customer service was excellent,2,Begin of Survey,FALSE,FALSE
They responded quickly.,2,Begin of Survey,FALSE,TRUE
Alejo Guerra - listen and fulfilled our requirements with no pressure!,1,End of Survey,FALSE,FALSE
Got back within a few hours.,2,Begin of Survey,FALSE,FALSE
It was helpful,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
responded in a timely fashion,1,End of Survey,FALSE,TRUE
"I contacted Bill Currie Ford in regards to a specific vehicle - a 2018 Ford Shelby GT350-R Mustang (Magnetic metallic). I was told the car was priced at sticker (MSRP) plus @25,000. I made a counter offer to which all I heard was crickets, no response at all. Consequently I assumed you weren't interested in my business so I shopped elsewhere and purchased a 2018 Shelby GT350-R Mustang for $20,000 less than the one you had in stock.",1,End of Survey,FALSE,TRUE
BC it seems like trying to buy a truck is a giant headache.    I?m over it,1,End of Survey,FALSE,FALSE
She pushed me to check around oh also I needed a 2500 long wheel base and high roof  in grey,1,End of Survey,FALSE,FALSE
Easy to work with agentGot my questions answeredAm considering purchasing a lot more seriously now than I wad,2,Begin of Survey,FALSE,TRUE
Quick to contact and listened to my request and needs,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
I went to Shelby on Saturday sat there for 3 hours. and still no answer on if we was able to purchase the new vehicle. said they would be in touch today and we have heard nothing,1,End of Survey,FALSE,FALSE
Good is as best I can give at this time.,1,End of Survey,FALSE,FALSE
"Pleasant, efficient experience.",1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Very easy to use and follow,2,Begin of Survey,FALSE,FALSE
NO HASSLE ON MY LINCOLN,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Good survice b,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Quick response!,2,Begin of Survey,FALSE,TRUE
No responce,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
"Only dealer who had vehicle in stock, had pricing, and responded quickly",1,End of Survey,FALSE,TRUE
